rule_id,policy_id,billing_code_id,copay_flat_amount,coinsurance_percentage,deductible_applies,frequency_limit_per_year
1,1,1,0.0,1.0,False,2.0
2,1,2,0.0,1.0,False,2.0
3,1,3,0.0,1.0,False,2.0
4,1,4,0.0,1.0,False,2.0
5,1,5,0.0,1.0,False,2.0
6,1,6,0.0,1.0,False,2.0
7,1,7,0.0,1.0,False,2.0
8,1,8,0.0,1.0,False,2.0
9,1,9,0.0,1.0,False,2.0
10,1,10,20.0,0.8,True,
11,1,11,20.0,0.8,True,
12,1,12,20.0,0.8,True,
13,1,13,20.0,0.8,True,
14,1,14,20.0,0.8,True,
15,1,15,50.0,0.5,True,
16,1,16,50.0,0.5,True,
17,1,17,50.0,0.5,True,
18,1,18,50.0,0.5,True,
19,1,19,50.0,0.5,True,
20,1,20,50.0,0.5,True,
21,1,21,50.0,0.5,True,
22,1,22,50.0,0.5,True,
23,2,1,0.0,1.0,False,2.0
24,2,2,0.0,1.0,False,2.0
25,2,3,0.0,1.0,False,2.0
26,2,4,0.0,1.0,False,2.0
27,2,5,0.0,1.0,False,2.0
28,2,6,0.0,1.0,False,2.0
29,2,7,0.0,1.0,False,2.0
30,2,8,0.0,1.0,False,2.0
31,2,9,0.0,1.0,False,2.0
32,2,10,20.0,0.8,True,
33,2,11,20.0,0.8,True,
34,2,12,20.0,0.8,True,
35,2,13,20.0,0.8,True,
36,2,14,20.0,0.8,True,
37,2,15,50.0,0.5,True,
38,2,16,50.0,0.5,True,
39,2,17,50.0,0.5,True,
40,2,18,50.0,0.5,True,
41,2,19,50.0,0.5,True,
42,2,20,50.0,0.5,True,
43,2,21,50.0,0.5,True,
44,2,22,50.0,0.5,True,
45,3,1,0.0,1.0,False,2.0
46,3,2,0.0,1.0,False,2.0
47,3,3,0.0,1.0,False,2.0
48,3,4,0.0,1.0,False,2.0
49,3,5,0.0,1.0,False,2.0
50,3,6,0.0,1.0,False,2.0
51,3,7,0.0,1.0,False,2.0
52,3,8,0.0,1.0,False,2.0
53,3,9,0.0,1.0,False,2.0
54,3,10,20.0,0.8,True,
55,3,11,20.0,0.8,True,
56,3,12,20.0,0.8,True,
57,3,13,20.0,0.8,True,
58,3,14,20.0,0.8,True,
59,3,15,50.0,0.5,True,
60,3,16,50.0,0.5,True,
61,3,17,50.0,0.5,True,
62,3,18,50.0,0.5,True,
63,3,19,50.0,0.5,True,
64,3,20,50.0,0.5,True,
65,3,21,50.0,0.5,True,
66,3,22,50.0,0.5,True,
67,4,1,0.0,1.0,False,2.0
68,4,2,0.0,1.0,False,2.0
69,4,3,0.0,1.0,False,2.0
70,4,4,0.0,1.0,False,2.0
71,4,5,0.0,1.0,False,2.0
72,4,6,0.0,1.0,False,2.0
73,4,7,0.0,1.0,False,2.0
74,4,8,0.0,1.0,False,2.0
75,4,9,0.0,1.0,False,2.0
76,4,10,20.0,0.8,True,
77,4,11,20.0,0.8,True,
78,4,12,20.0,0.8,True,
79,4,13,20.0,0.8,True,
80,4,14,20.0,0.8,True,
81,4,15,50.0,0.5,True,
82,4,16,50.0,0.5,True,
83,4,17,50.0,0.5,True,
84,4,18,50.0,0.5,True,
85,4,19,50.0,0.5,True,
86,4,20,50.0,0.5,True,
87,4,21,50.0,0.5,True,
88,4,22,50.0,0.5,True,
89,5,1,0.0,1.0,False,2.0
90,5,2,0.0,1.0,False,2.0
91,5,3,0.0,1.0,False,2.0
92,5,4,0.0,1.0,False,2.0
93,5,5,0.0,1.0,False,2.0
94,5,6,0.0,1.0,False,2.0
95,5,7,0.0,1.0,False,2.0
96,5,8,0.0,1.0,False,2.0
97,5,9,0.0,1.0,False,2.0
98,5,10,20.0,0.8,True,
99,5,11,20.0,0.8,True,
100,5,12,20.0,0.8,True,
101,5,13,20.0,0.8,True,
102,5,14,20.0,0.8,True,
103,5,15,50.0,0.5,True,
104,5,16,50.0,0.5,True,
105,5,17,50.0,0.5,True,
106,5,18,50.0,0.5,True,
107,5,19,50.0,0.5,True,
108,5,20,50.0,0.5,True,
109,5,21,50.0,0.5,True,
110,5,22,50.0,0.5,True,
111,6,1,0.0,1.0,False,2.0
112,6,2,0.0,1.0,False,2.0
113,6,3,0.0,1.0,False,2.0
114,6,4,0.0,1.0,False,2.0
115,6,5,0.0,1.0,False,2.0
116,6,6,0.0,1.0,False,2.0
117,6,7,0.0,1.0,False,2.0
118,6,8,0.0,1.0,False,2.0
119,6,9,0.0,1.0,False,2.0
120,6,10,20.0,0.8,True,
121,6,11,20.0,0.8,True,
122,6,12,20.0,0.8,True,
123,6,13,20.0,0.8,True,
124,6,14,20.0,0.8,True,
125,6,15,50.0,0.5,True,
126,6,16,50.0,0.5,True,
127,6,17,50.0,0.5,True,
128,6,18,50.0,0.5,True,
129,6,19,50.0,0.5,True,
130,6,20,50.0,0.5,True,
131,6,21,50.0,0.5,True,
132,6,22,50.0,0.5,True,
133,7,1,0.0,1.0,False,2.0
134,7,2,0.0,1.0,False,2.0
135,7,3,0.0,1.0,False,2.0
136,7,4,0.0,1.0,False,2.0
137,7,5,0.0,1.0,False,2.0
138,7,6,0.0,1.0,False,2.0
139,7,7,0.0,1.0,False,2.0
140,7,8,0.0,1.0,False,2.0
141,7,9,0.0,1.0,False,2.0
142,7,10,20.0,0.8,True,
143,7,11,20.0,0.8,True,
144,7,12,20.0,0.8,True,
145,7,13,20.0,0.8,True,
146,7,14,20.0,0.8,True,
147,7,15,50.0,0.5,True,
148,7,16,50.0,0.5,True,
149,7,17,50.0,0.5,True,
150,7,18,50.0,0.5,True,
151,7,19,50.0,0.5,True,
152,7,20,50.0,0.5,True,
153,7,21,50.0,0.5,True,
154,7,22,50.0,0.5,True,
155,8,1,0.0,1.0,False,2.0
156,8,2,0.0,1.0,False,2.0
157,8,3,0.0,1.0,False,2.0
158,8,4,0.0,1.0,False,2.0
159,8,5,0.0,1.0,False,2.0
160,8,6,0.0,1.0,False,2.0
161,8,7,0.0,1.0,False,2.0
162,8,8,0.0,1.0,False,2.0
163,8,9,0.0,1.0,False,2.0
164,8,10,20.0,0.8,True,
165,8,11,20.0,0.8,True,
166,8,12,20.0,0.8,True,
167,8,13,20.0,0.8,True,
168,8,14,20.0,0.8,True,
169,8,15,50.0,0.5,True,
170,8,16,50.0,0.5,True,
171,8,17,50.0,0.5,True,
172,8,18,50.0,0.5,True,
173,8,19,50.0,0.5,True,
174,8,20,50.0,0.5,True,
175,8,21,50.0,0.5,True,
176,8,22,50.0,0.5,True,
177,9,1,0.0,1.0,False,2.0
178,9,2,0.0,1.0,False,2.0
179,9,3,0.0,1.0,False,2.0
180,9,4,0.0,1.0,False,2.0
181,9,5,0.0,1.0,False,2.0
182,9,6,0.0,1.0,False,2.0
183,9,7,0.0,1.0,False,2.0
184,9,8,0.0,1.0,False,2.0
185,9,9,0.0,1.0,False,2.0
186,9,10,20.0,0.8,True,
187,9,11,20.0,0.8,True,
188,9,12,20.0,0.8,True,
189,9,13,20.0,0.8,True,
190,9,14,20.0,0.8,True,
191,9,15,50.0,0.5,True,
192,9,16,50.0,0.5,True,
193,9,17,50.0,0.5,True,
194,9,18,50.0,0.5,True,
195,9,19,50.0,0.5,True,
196,9,20,50.0,0.5,True,
197,9,21,50.0,0.5,True,
198,9,22,50.0,0.5,True,
199,10,1,0.0,1.0,False,2.0
200,10,2,0.0,1.0,False,2.0
201,10,3,0.0,1.0,False,2.0
202,10,4,0.0,1.0,False,2.0
203,10,5,0.0,1.0,False,2.0
204,10,6,0.0,1.0,False,2.0
205,10,7,0.0,1.0,False,2.0
206,10,8,0.0,1.0,False,2.0
207,10,9,0.0,1.0,False,2.0
208,10,10,20.0,0.8,True,
209,10,11,20.0,0.8,True,
210,10,12,20.0,0.8,True,
211,10,13,20.0,0.8,True,
212,10,14,20.0,0.8,True,
213,10,15,50.0,0.5,True,
214,10,16,50.0,0.5,True,
215,10,17,50.0,0.5,True,
216,10,18,50.0,0.5,True,
217,10,19,50.0,0.5,True,
218,10,20,50.0,0.5,True,
219,10,21,50.0,0.5,True,
220,10,22,50.0,0.5,True,
221,11,1,0.0,1.0,False,2.0
222,11,2,0.0,1.0,False,2.0
223,11,3,0.0,1.0,False,2.0
224,11,4,0.0,1.0,False,2.0
225,11,5,0.0,1.0,False,2.0
226,11,6,0.0,1.0,False,2.0
227,11,7,0.0,1.0,False,2.0
228,11,8,0.0,1.0,False,2.0
229,11,9,0.0,1.0,False,2.0
230,11,10,20.0,0.8,True,
231,11,11,20.0,0.8,True,
232,11,12,20.0,0.8,True,
233,11,13,20.0,0.8,True,
234,11,14,20.0,0.8,True,
235,11,15,50.0,0.5,True,
236,11,16,50.0,0.5,True,
237,11,17,50.0,0.5,True,
238,11,18,50.0,0.5,True,
239,11,19,50.0,0.5,True,
240,11,20,50.0,0.5,True,
241,11,21,50.0,0.5,True,
242,11,22,50.0,0.5,True,
243,12,1,0.0,1.0,False,2.0
244,12,2,0.0,1.0,False,2.0
245,12,3,0.0,1.0,False,2.0
246,12,4,0.0,1.0,False,2.0
247,12,5,0.0,1.0,False,2.0
248,12,6,0.0,1.0,False,2.0
249,12,7,0.0,1.0,False,2.0
250,12,8,0.0,1.0,False,2.0
251,12,9,0.0,1.0,False,2.0
252,12,10,20.0,0.8,True,
253,12,11,20.0,0.8,True,
254,12,12,20.0,0.8,True,
255,12,13,20.0,0.8,True,
256,12,14,20.0,0.8,True,
257,12,15,50.0,0.5,True,
258,12,16,50.0,0.5,True,
259,12,17,50.0,0.5,True,
260,12,18,50.0,0.5,True,
261,12,19,50.0,0.5,True,
262,12,20,50.0,0.5,True,
263,12,21,50.0,0.5,True,
264,12,22,50.0,0.5,True,
