association_id,office_id,insurance_company_id,shared_network_id,network_status
1,1,1,1.0,In-Network
2,1,2,1.0,In-Network
3,1,3,1.0,In-Network
4,1,4,3.0,In-Network
5,1,5,1.0,In-Network
6,1,6,1.0,In-Network
7,1,7,1.0,In-Network
8,1,8,2.0,In-Network
9,1,9,1.0,In-Network
10,2,1,,Out-of-Network
11,2,2,2.0,In-Network
12,2,3,2.0,In-Network
13,2,4,,Out-of-Network
14,2,5,,Out-of-Network
15,2,6,,Out-of-Network
16,2,7,2.0,In-Network
17,2,8,2.0,In-Network
18,2,9,2.0,In-Network
19,3,1,1.0,In-Network
20,3,2,1.0,In-Network
21,3,3,1.0,In-Network
22,3,4,,Out-of-Network
23,3,5,1.0,In-Network
24,3,6,1.0,In-Network
25,3,7,1.0,In-Network
26,3,8,2.0,In-Network
27,3,9,1.0,In-Network
28,4,1,,Out-of-Network
29,4,2,3.0,In-Network
30,4,3,3.0,In-Network
31,4,4,3.0,In-Network
32,4,5,3.0,In-Network
33,4,6,,Out-of-Network
34,4,7,3.0,In-Network
35,4,8,3.0,In-Network
36,4,9,3.0,In-Network
37,5,1,1.0,In-Network
38,5,2,1.0,In-Network
39,5,3,1.0,In-Network
40,5,4,3.0,In-Network
41,5,5,1.0,In-Network
42,5,6,1.0,In-Network
43,5,7,1.0,In-Network
44,5,8,2.0,In-Network
45,5,9,1.0,In-Network
46,6,1,1.0,In-Network
47,6,2,1.0,In-Network
48,6,3,1.0,In-Network
49,6,4,3.0,In-Network
50,6,5,1.0,In-Network
51,6,6,1.0,In-Network
52,6,7,1.0,In-Network
53,6,8,2.0,In-Network
54,6,9,1.0,In-Network
55,7,1,1.0,In-Network
56,7,2,1.0,In-Network
57,7,3,1.0,In-Network
58,7,4,3.0,In-Network
59,7,5,1.0,In-Network
60,7,6,1.0,In-Network
61,7,7,1.0,In-Network
62,7,8,3.0,In-Network
63,7,9,1.0,In-Network
64,8,1,1.0,In-Network
65,8,2,1.0,In-Network
66,8,3,1.0,In-Network
67,8,4,3.0,In-Network
68,8,5,1.0,In-Network
69,8,6,1.0,In-Network
70,8,7,1.0,In-Network
71,8,8,2.0,In-Network
72,8,9,1.0,In-Network
73,9,1,,Out-of-Network
74,9,2,2.0,In-Network
75,9,3,2.0,In-Network
76,9,4,,Out-of-Network
77,9,5,,Out-of-Network
78,9,6,,Out-of-Network
79,9,7,2.0,In-Network
80,9,8,2.0,In-Network
81,9,9,2.0,In-Network
82,10,1,1.0,In-Network
83,10,2,1.0,In-Network
84,10,3,1.0,In-Network
85,10,4,3.0,In-Network
86,10,5,1.0,In-Network
87,10,6,1.0,In-Network
88,10,7,1.0,In-Network
89,10,8,3.0,In-Network
90,10,9,1.0,In-Network
91,11,1,,Out-of-Network
92,11,2,3.0,In-Network
93,11,3,3.0,In-Network
94,11,4,3.0,In-Network
95,11,5,3.0,In-Network
96,11,6,,Out-of-Network
97,11,7,3.0,In-Network
98,11,8,3.0,In-Network
99,11,9,3.0,In-Network
100,12,1,1.0,In-Network
101,12,2,1.0,In-Network
102,12,3,1.0,In-Network
103,12,4,,Out-of-Network
104,12,5,1.0,In-Network
105,12,6,1.0,In-Network
106,12,7,1.0,In-Network
107,12,8,,Out-of-Network
108,12,9,1.0,In-Network
109,13,1,1.0,In-Network
110,13,2,1.0,In-Network
111,13,3,1.0,In-Network
112,13,4,3.0,In-Network
113,13,5,1.0,In-Network
114,13,6,1.0,In-Network
115,13,7,1.0,In-Network
116,13,8,2.0,In-Network
117,13,9,1.0,In-Network
118,14,1,,Out-of-Network
119,14,2,3.0,In-Network
120,14,3,3.0,In-Network
121,14,4,3.0,In-Network
122,14,5,3.0,In-Network
123,14,6,,Out-of-Network
124,14,7,3.0,In-Network
125,14,8,3.0,In-Network
126,14,9,3.0,In-Network
127,15,1,1.0,In-Network
128,15,2,1.0,In-Network
129,15,3,1.0,In-Network
130,15,4,3.0,In-Network
131,15,5,1.0,In-Network
132,15,6,1.0,In-Network
133,15,7,1.0,In-Network
134,15,8,3.0,In-Network
135,15,9,1.0,In-Network
136,16,1,,Out-of-Network
137,16,2,2.0,In-Network
138,16,3,2.0,In-Network
139,16,4,3.0,In-Network
140,16,5,3.0,In-Network
141,16,6,,Out-of-Network
142,16,7,2.0,In-Network
143,16,8,2.0,In-Network
144,16,9,2.0,In-Network
145,17,1,,Out-of-Network
146,17,2,3.0,In-Network
147,17,3,3.0,In-Network
148,17,4,3.0,In-Network
149,17,5,3.0,In-Network
150,17,6,,Out-of-Network
151,17,7,3.0,In-Network
152,17,8,3.0,In-Network
153,17,9,3.0,In-Network
154,18,1,1.0,In-Network
155,18,2,1.0,In-Network
156,18,3,1.0,In-Network
157,18,4,3.0,In-Network
158,18,5,1.0,In-Network
159,18,6,1.0,In-Network
160,18,7,1.0,In-Network
161,18,8,2.0,In-Network
162,18,9,1.0,In-Network
163,19,1,,Out-of-Network
164,19,2,2.0,In-Network
165,19,3,2.0,In-Network
166,19,4,3.0,In-Network
167,19,5,3.0,In-Network
168,19,6,,Out-of-Network
169,19,7,2.0,In-Network
170,19,8,2.0,In-Network
171,19,9,2.0,In-Network
172,20,1,,Out-of-Network
173,20,2,2.0,In-Network
174,20,3,2.0,In-Network
175,20,4,3.0,In-Network
176,20,5,3.0,In-Network
177,20,6,,Out-of-Network
178,20,7,2.0,In-Network
179,20,8,2.0,In-Network
180,20,9,2.0,In-Network
