office_network_id,office_id,network_id,contract_start_date
1,1,3,2024-10-03
2,1,2,2025-07-25
3,1,1,2023-05-04
4,2,2,2021-04-21
5,3,1,2023-12-22
6,3,2,2025-05-29
7,4,3,2021-07-02
8,5,2,2023-04-25
9,5,1,2023-09-16
10,5,3,2025-06-30
11,6,2,2025-04-27
12,6,1,2024-06-14
13,6,3,2024-02-15
14,7,1,2024-03-28
15,7,3,2022-09-02
16,8,2,2024-01-13
17,8,3,2022-07-17
18,8,1,2025-03-04
19,9,2,2022-12-07
20,10,1,2021-11-30
21,10,3,2020-12-29
22,11,3,2020-10-12
23,12,1,2023-06-12
24,13,2,2023-08-14
25,13,1,2020-09-17
26,13,3,2024-03-19
27,14,3,2020-12-20
28,15,3,2021-01-05
29,15,1,2020-10-31
30,16,3,2022-04-30
31,16,2,2023-03-31
32,17,3,2022-01-25
33,18,3,2023-02-07
34,18,1,2023-05-16
35,18,2,2024-04-16
36,19,3,2025-02-01
37,19,2,2023-07-23
38,20,3,2021-11-21
39,20,2,2023-01-15
